Time,Temperature,Humidity,Soil,CSI
2026-02-04 14:56:21.797356,48.3,63.6,0.0,0.67
2026-02-04 14:56:24.772867,47.8,65.1,0.0,0.67
2026-02-04 14:56:27.642352,47.0,58.8,0.0,0.67
2026-02-04 14:56:30.686841,46.3,51.6,0.0,0.67
2026-02-04 14:56:33.715139,45.7,47.3,0.0,0.67
2026-02-04 14:56:36.780317,45.1,44.8,0.0,0.67
2026-02-04 14:56:39.730377,44.6,43.5,0.0,0.67
2026-02-04 14:56:42.695797,44.1,42.9,0.0,0.67
2026-02-04 14:56:45.757989,43.6,42.6,0.0,0.67
2026-02-04 14:56:48.710246,43.1,42.7,0.0,0.67
2026-02-04 14:56:51.768959,42.6,42.8,0.0,0.67
2026-02-04 14:56:54.817800,42.1,42.9,0.0,0.67
2026-02-04 14:56:57.722278,41.7,43.1,0.0,0.67
2026-02-04 14:57:00.689864,41.2,43.4,0.0,0.67
2026-02-04 14:57:03.764457,40.8,43.8,0.0,0.67
2026-02-04 14:57:06.778478,40.4,44.2,0.0,0.67
2026-02-04 14:57:09.908785,40.0,44.6,0.0,0.67
2026-02-04 14:57:12.718803,39.6,45.0,0.0,0.67
2026-02-04 14:57:15.715102,39.2,45.4,0.0,0.67
2026-02-04 14:57:18.754386,38.8,45.9,0.0,0.67
2026-02-04 14:57:21.815229,38.5,46.3,0.0,0.67
2026-02-04 14:57:24.802737,38.1,46.7,0.0,0.67
2026-02-04 14:57:27.745361,37.8,47.1,0.0,0.67
2026-02-04 14:57:30.705136,37.5,47.6,0.0,0.67
2026-02-04 14:57:33.796356,37.2,48.0,0.0,0.67
2026-02-04 14:57:36.736452,36.9,52.0,0.0,0.67
2026-02-04 14:57:39.708351,36.2,59.1,0.0,0.67
2026-02-04 14:57:42.777727,35.3,64.7,0.0,0.67
2026-02-04 14:57:47.155212,34.4,65.2,0.0,0.33
2026-02-04 14:57:48.722314,33.4,67.1,0.0,0.33
2026-02-04 14:57:51.795561,33.1,66.6,0.0,0.33
2026-02-04 14:57:54.863648,32.9,64.8,0.0,0.33
2026-02-04 14:57:57.733397,32.7,63.1,0.0,0.33
2026-02-04 14:58:00.774347,32.6,61.7,0.0,0.33
